Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Pret A Manger,G&A,$92,Food and beverage restaurant chain,Consolidate
Axil Coffee Roasters,G&A,$89,Specialty coffee shop for meals and beverages,Consolidate
Pepco Croatia D.O.O.,G&A,$89,Discount retail store for office supplies,Optimize costs
Lemia D.O.O.,G&A,$88,Croatian business services provider,Terminate
Retriever Llc,G&A,$88,Business services or data provider,Terminate
Meluba Limited,G&A,$88,Unclear business services provider,Terminate
London Waste Management,Facilities,$86,Waste collection and disposal services,Optimize costs
Hilton Garden Inn - Zagreb City Hotels D.O.O.,G&A,$82,Hotel accommodation for business travel,Optimize costs
Lider Media D.O.O.,Marketing,$80,Croatian media and advertising services,Optimize costs
Uptime Robot Service Provider Ltd,Engineering,$78,Website and server uptime monitoring SaaS,Optimize costs
Mithras Consultants,Professional Services,$77,Business consulting services,Terminate
6Sense Insights Inc,Marketing,$76,B2B marketing intelligence and intent data platform,Optimize costs
Ico,Legal,$67,Compliance or regulatory services,Terminate
Sportska Udruga Split,G&A,$66,Croatian sports association membership or event,Terminate
Prezzee,G&A,$64,Digital gift card platform for rewards,Optimize costs
Inet Telecoms Ltd.,G&A,$63,Telecommunications and internet services,Optimize costs
Wolt Enterprises Oy,G&A,$62,Food delivery platform for meals,Consolidate
Platinum Office D.O.O.,Facilities,$62,Office services or supplies in Croatia,Optimize costs
Snappy Snaps,Marketing,$59,Photo printing and processing services,Consolidate
New Block D.O.O.,G&A,$56,Croatian business services provider,Terminate
Cayman Islands Government,Legal,$56,Government registration or compliance fees,Optimize costs
Officeworks,G&A,$56,Office supplies and stationery retailer,Optimize costs
Click Send Pty Ltd,Engineering,$55,SMS and communication API platform,Optimize costs
Kall Kwik Centre 565,G&A,$55,Printing and copy shop services,Consolidate
Shilton Hospitality Llp,G&A,$55,Hospitality or catering services,Optimize costs
Axosoft Gitkraken,Engineering,$54,Git client and version control tool,Optimize costs
Istra Wine,G&A,$53,Wine retailer for gifts or events,Consolidate
Gophr,G&A,$52,On-demand courier and delivery service,Consolidate
Pan-Pek D.O.O.,G&A,$50,Croatian bakery or food supplier,Consolidate
Uber *Eats,G&A,$50,Food delivery platform for meals,Consolidate
Fedex Express Uk Transportation Ltd,G&A,$47,International courier and shipping services,Consolidate
Garden City D.O.O.,G&A,$45,Croatian facilities or retail services,Terminate
Livingstone,Professional Services,$41,Consulting or recruitment services,Terminate
Ekupi D.O.O.,G&A,$40,Croatian retail chain for supplies,Optimize costs
Farmacia - Specijalizirana Prodavaonica D.O.O.,G&A,$36,Croatian pharmacy for employee needs,Optimize costs
Cupcake Central (Life Is Sweet Bakery),G&A,$35,Bakery for events or catering,Consolidate
Post Office Ltd,G&A,$32,Postal and mailing services,Optimize costs
Currys Pc World,Engineering,$30,UK electronics retailer for IT equipment and accessories,Consolidate
Brodomerkur D.D.,Facilities,$29,Croatian hardware and industrial supplies retailer,Consolidate
Sport Vision D.O.O.,G&A,$26,Sports equipment and apparel retail store,Terminate
Harissa D.O.O.,G&A,$21,Croatian vendor with unclear business purpose,Terminate
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,G&A,$20,Occupational health and sports medicine medical practice,Consolidate
Specijalisticka Ordinacija Medicine Rada Helena Blazic,G&A,$20,Occupational health medical practice for employee compliance,Consolidate
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,G&A,$20,Occupational and sports medicine institute for employees,Consolidate
M&S Simply Food,Facilities,$19,Employee catering and food services,Optimize costs
Bakemono Bakers Melbourne,G&A,$18,Melbourne bakery for team meals or events,Terminate
Coles,G&A,$18,Australian supermarket chain for office supplies or food,Terminate
