vendor_name_raw,spend_usd,department_final,category_final,suggestion_final,description_final,confidence,rationale_short,suspected_duplicates,rule_id,needs_llm
Etm Concessions Ltd,1419.0,Facilities,General Ops,Consolidate,Concession and catering services,Medium,Consolidate with other food vendors,City Pantry Ltd;Lunch Nutrition D.O.O.;Oladi D.O.O.,,True
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,1406.0,G&A,Travel & Expense,Consolidate,Hotel accommodation for business travel,High,Same hotel chain as Grt Hotels,Grt Hotels And Resorts P Ltd;Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,,True
Ariba Inc,1363.0,Finance,Finance Systems,Optimize costs,Procurement and spend management software,High,Review usage vs platform adoption,,,True
Chamiers Recreation Club,1338.0,G&A,General Ops,Consolidate,Recreation club membership or venue services,Medium,Consolidate recreation/venue providers,Chamiers Recreation Club;P S Recreation Club,,True
Quadrant Law Llc,1327.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Docusign,1308.0,SaaS,Productivity/Collab,Optimize costs,Electronic signature and document management,N/A,,,R024,False
Inside Edge Novated Leasing,1287.0,Finance,General Ops,Optimize costs,Australian novated vehicle leasing service,High,Review leasing terms and necessity,,,True
Rhea D.O.O.,1253.0,G&A,General Ops,Optimize costs,Croatian service provider,Low,Unclear service category; needs validation,,,True
P S Recreation Club,1219.0,G&A,General Ops,Consolidate,Recreation club membership or venue services,Medium,Consolidate recreation/venue providers,Chamiers Recreation Club;P S Recreation Club,,True
Fastspring,1179.0,Finance,Finance Systems,Optimize costs,E-commerce payment processing and subscription management,High,Review transaction fees and alternatives,,,True
Dsv Solutions A/S,1162.0,G&A,General Ops,Optimize costs,Logistics and freight forwarding services,High,Review shipping rates and frequency,,,True
Curzon Green Solicitors,1158.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Icare Nsw,1150.0,Finance,Finance Systems,Optimize costs,Australian workers compensation insurance,High,Mandatory insurance; review coverage terms,,,True
Thomas Mansfield Solicitors Limited,1135.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Amazon.Co.Uk,1107.0,G&A,General Ops,Consolidate,General supplies and equipment marketplace,Medium,Consolidate purchasing through preferred channels,,,True
Backoffice Associates,1080.0,Professional Services,Professional Services,Consolidate,Back office support and administrative services,High,Consolidate outsourced services,,,True
Oladi D.O.O.,1064.0,Facilities,General Ops,Consolidate,Croatian restaurant and catering service,High,Consolidate with other meal providers,City Pantry Ltd;Lunch Nutrition D.O.O.;Oladi D.O.O.,,True
Integrated Personnel Services,1054.0,G&A,Recruiting,Consolidate,Staffing and recruitment services,High,Consolidate with primary recruiting vendors,,,True
Mãœller Trgovina Zagreb D.O.O.,1051.0,G&A,General Ops,Optimize costs,Croatian retail and trade supplies,Medium,Review purchasing necessity and alternatives,,,True
Lunch Nutrition D.O.O.,1012.0,Facilities,General Ops,Consolidate,Croatian meal delivery and nutrition service,High,Consolidate with other meal providers,City Pantry Ltd;Lunch Nutrition D.O.O.;Oladi D.O.O.,,True
Winmaxi Tours & Travels,1001.0,G&A,Travel & Expense,Consolidate,Travel booking and tour services,High,Consolidate with primary travel provider,,,True
Digitalna Produkcija J.D.O.O.,993.0,Marketing,Marketing/SEO/PR,Consolidate,Croatian digital production and media services,Medium,Consolidate digital agencies,,,True
Computershare-Caboodle Technology Limited,981.0,Finance,Finance Systems,Optimize costs,Share registry and equity management platform,High,Review usage and subscription tiers,,,True
Allianz Wa,971.0,G&A,General Ops,Consolidate,Employee health and insurance benefits,N/A,,,R025,False
Trending Technology Services Gmbh,961.0,Engineering,Security/IT Ops,Optimize costs,German IT services and technology consulting,Medium,Review engagement scope and deliverables,,,True
"Godaddy.Com, Llc",923.0,Engineering,Security/IT Ops,Optimize costs,Domain registration and web hosting services,High,Review domain portfolio and hosting needs,,,True
Time Out Group,920.0,Marketing,Marketing/SEO/PR,Optimize costs,Media and events publishing company,High,Event/media services can be optimized,"Time Out Group, Urbani Eventi D.O.O., Blink Events",,True
Raiffeisenbank Austria D.D.,920.0,Finance,Finance Systems,Optimize costs,Banking services for Croatian operations,High,Review for fee optimization,,,True
Galop-Prijevoz D.O.O.,908.0,Facilities,General Ops,Consolidate,Croatian transport and delivery service,Medium,Consolidate with other transport vendors,"Galop-Prijevoz D.O.O., Trans-Agram Obrt Za Dostavu, Croatia Airlines, Greencell Express Private Limited, Lancefield Bus Service, Super Odredište D.O.O.",,True
Lane Ip Limited,851.0,Legal,Legal Services,Consolidate,Intellectual property legal services,High,Consolidate IP services with main firm,"Lane Ip Limited, Kilgannon & Partners Llp, Pixsy Inc, Franklin, Gringer & Cohen, P.C.",,True
Urbani Eventi D.O.O.,851.0,Marketing,Marketing/SEO/PR,Consolidate,Event planning and management services,High,Consolidate event vendors to single provider,"Time Out Group, Urbani Eventi D.O.O., Blink Events",,True
Smashing Media Ag,850.0,Marketing,Marketing/SEO/PR,Optimize costs,Digital media and content services,High,Evaluate subscription value vs usage,"Smashing Media Ag, Merchandise Ltd",,True
Epignosis Llc,833.0,SaaS,Productivity/Collab,Optimize costs,Learning management system platform,High,Review license utilization and pricing,,,True
Croatia Airlines,832.0,G&A,Travel & Expense,Consolidate,Air travel services in Croatia region,High,Consolidate under corporate travel policy,"Galop-Prijevoz D.O.O., Trans-Agram Obrt Za Dostavu, Croatia Airlines, Greencell Express Private Limited, Lancefield Bus Service, Super Odredište D.O.O.",,True
Bb Football Scouting J.D.O.O.,823.0,G&A,General Ops,Terminate,Sports scouting or team building service,Low,Unclear business purpose; verify necessity,,,True
Boe Croatia D.O.O.,814.0,G&A,General Ops,Terminate,Croatian business services provider,Low,Ambiguous service type requires validation,,,True
Potomac D.O.O.,806.0,G&A,General Ops,Terminate,Croatian business services provider,Low,Unclear business purpose and value,,,True
"President Hotel And Tower Co., Ltd",803.0,G&A,Travel & Expense,Consolidate,Hotel accommodation in Asia,High,Consolidate hotels under travel policy,"President Hotel And Tower Co., Ltd, Hotel Zonar, Marvie Hotel - Krupa D.O.O., Obiteljski Hoteli D.O.O., Edwardian Pastoria Hotels Ltd (The Londoner)",,True
Friends Sports Club,797.0,Facilities,General Ops,Optimize costs,Employee recreation and wellness facility,Medium,Review membership utilization rates,,,True
The Cycle Gap Adyar,765.0,G&A,General Ops,Terminate,Bicycle shop or transport service in Chennai,Low,One-time purchase; no ongoing need,,,True
Apple - Amer,764.0,G&A,General Ops,Optimize costs,Hardware and device purchases,N/A,,,R034,False
Klg - Kalra Legal Group,681.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Kilgannon & Partners Llp,681.0,Legal,Legal Services,Consolidate,Legal advisory and consulting services,High,Consolidate legal vendors to primary firm,"Lane Ip Limited, Kilgannon & Partners Llp, Pixsy Inc, Franklin, Gringer & Cohen, P.C.",,True
Uk Postbox Limited,670.0,Facilities,General Ops,Optimize costs,UK mail forwarding and virtual address,Medium,Review ongoing need for service,,,True
Catering Iviä‡ D.O.O.,669.0,Facilities,General Ops,Optimize costs,Employee catering and food services,N/A,,,R030,False
Blink Events,664.0,Marketing,Marketing/SEO/PR,Consolidate,Event production and management services,High,Consolidate event vendors to reduce overlap,"Time Out Group, Urbani Eventi D.O.O., Blink Events",,True
Grafo-Jan,662.0,Marketing,General Ops,Optimize costs,Printing or graphic design services,Low,Ambiguous vendor; verify service type,,,True
Mesa Verde,662.0,G&A,General Ops,Consolidate,Restaurant or catering services,Medium,Consolidate food vendors under policy,"Mesa Verde, Obrt Za Ugostiteljstvo Mirakul, Oakberry Jr D.O.O., Magic Mountain Saloon, Yellow Submarine D.O.O., Vivat Fina Vina D.O.O., Del Posto D.O.O.",,True
Pixsy Inc,613.0,Legal,Legal Services,Optimize costs,Image copyright protection platform,High,Review subscription necessity and ROI,"Lane Ip Limited, Kilgannon & Partners Llp, Pixsy Inc, Franklin, Gringer & Cohen, P.C.",,True
Dun & Bradstreet D.O.O.,610.0,Finance,Finance Systems,Optimize costs,Business intelligence and credit reporting,High,Review subscription tier vs usage,,,True
Induslaw,596.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Trans-Agram Obrt Za Dostavu,581.0,Facilities,General Ops,Consolidate,Croatian delivery and courier service,Medium,Consolidate delivery services,"Galop-Prijevoz D.O.O., Trans-Agram Obrt Za Dostavu, Croatia Airlines, Greencell Express Private Limited, Lancefield Bus Service, Super Odredište D.O.O.",,True
Landu Law Solicitors,568.0,Legal,Legal Services,Consolidate,Legal counsel and advisory services,N/A,,,R010,False
Arena Center Zagreb D.O.O.,567.0,Facilities,Coworking/Office,Optimize costs,Event venue or meeting space in Zagreb,Medium,Review frequency of use vs cost,,,True
Obrt Za Ugostiteljstvo Mirakul,565.0,G&A,General Ops,Consolidate,Croatian restaurant or catering service,Medium,Consolidate food vendors,"Mesa Verde, Obrt Za Ugostiteljstvo Mirakul, Oakberry Jr D.O.O., Magic Mountain Saloon, Yellow Submarine D.O.O., Vivat Fina Vina D.O.O., Del Posto D.O.O.",,True
Oakberry Jr D.O.O.,535.0,G&A,General Ops,Consolidate,Acai bowl restaurant chain,High,Consolidate meal vendors under T&E policy,"Mesa Verde, Obrt Za Ugostiteljstvo Mirakul, Oakberry Jr D.O.O., Magic Mountain Saloon, Yellow Submarine D.O.O., Vivat Fina Vina D.O.O., Del Posto D.O.O.",,True
Tau On-Line D.O.O.,534.0,SaaS,Other,Terminate,Croatian online service or software,Low,Unclear service type; validate necessity,,,True
Magic Mountain Saloon,524.0,G&A,General Ops,Consolidate,Restaurant or bar services,Medium,Consolidate food/entertainment vendors,"Mesa Verde, Obrt Za Ugostiteljstvo Mirakul, Oakberry Jr D.O.O., Magic Mountain Saloon, Yellow Submarine D.O.O., Vivat Fina Vina D.O.O., Del Posto D.O.O.",,True
Hotel Zonar,523.0,G&A,Travel & Expense,Consolidate,Hotel accommodation services,High,Consolidate hotels under travel policy,"President Hotel And Tower Co., Ltd, Hotel Zonar, Marvie Hotel - Krupa D.O.O., Obiteljski Hoteli D.O.O., Edwardian Pastoria Hotels Ltd (The Londoner)",,True
Roto Dinamic D.O.O.,512.0,Marketing,General Ops,Optimize costs,Printing or manufacturing services,Low,Unclear service; verify ongoing need,,,True
Tm Forum,510.0,G&A,General Ops,Terminate,Telecom industry association membership,High,Review membership ROI and utilization,,,True
Marvie Hotel - Krupa D.O.O.,502.0,G&A,Travel & Expense,Consolidate,Hotel accommodation in Croatia,High,Consolidate hotels under travel policy,"President Hotel And Tower Co., Ltd, Hotel Zonar, Marvie Hotel - Krupa D.O.O., Obiteljski Hoteli D.O.O., Edwardian Pastoria Hotels Ltd (The Londoner)",,True
Merchandise Ltd,490.0,Marketing,Marketing/SEO/PR,Optimize costs,Promotional products and branded merchandise,High,Review ordering frequency and discounts,"Smashing Media Ag, Merchandise Ltd",,True
Yellow Submarine D.O.O.,486.0,G&A,General Ops,Consolidate,Restaurant or bar services,Medium,Consolidate food vendors,"Mesa Verde, Obrt Za Ugostiteljstvo Mirakul, Oakberry Jr D.O.O., Magic Mountain Saloon, Yellow Submarine D.O.O., Vivat Fina Vina D.O.O., Del Posto D.O.O.",,True
Streamlinereforms Inc,483.0,Professional Services,General Ops,Terminate,Business process improvement consulting,Medium,Project-based; verify if engagement complete,,,True
Make And Grow Ltd,483.0,Professional Services,General Ops,Terminate,Business consulting and advisory services,Medium,Validate ongoing project necessity,,,True
Obiteljski Hoteli D.O.O.,474.0,G&A,Travel & Expense,Consolidate,Croatian family hotel chain,High,Consolidate hotels under travel policy,"President Hotel And Tower Co., Ltd, Hotel Zonar, Marvie Hotel - Krupa D.O.O., Obiteljski Hoteli D.O.O., Edwardian Pastoria Hotels Ltd (The Londoner)",,True
Rudan D.O.O.,473.0,G&A,General Ops,Terminate,Croatian business services provider,Low,Unclear business purpose; validate need,,,True
Entrio Tehnologije D.O.O.,473.0,SaaS,Marketing/SEO/PR,Optimize costs,Event ticketing and registration platform,High,Review against Eventbrite or alternatives,,,True
Vivat Fina Vina D.O.O.,467.0,G&A,General Ops,Consolidate,Croatian wine supplier for events,High,Consolidate beverage vendors,"Mesa Verde, Obrt Za Ugostiteljstvo Mirakul, Oakberry Jr D.O.O., Magic Mountain Saloon, Yellow Submarine D.O.O., Vivat Fina Vina D.O.O., Del Posto D.O.O.",,True
"Figma, Inc.",460.0,Product,Product/Design,Optimize costs,Collaborative design and prototyping tool,N/A,,,R015,False
E-Disti D.O.O.,458.0,G&A,General Ops,Terminate,Croatian e-commerce or distribution service,Low,Unclear service type; verify necessity,,,True
Greencell Express Private Limited,457.0,G&A,Travel & Expense,Consolidate,Express transport service in India,Medium,Consolidate transport under travel policy,"Galop-Prijevoz D.O.O., Trans-Agram Obrt Za Dostavu, Croatia Airlines, Greencell Express Private Limited, Lancefield Bus Service, Super Odredište D.O.O.",,True
Edwardian Pastoria Hotels Ltd (The Londoner),433.0,G&A,Travel & Expense,Consolidate,Hotel accommodation in London,High,Consolidate hotels under travel policy,"President Hotel And Tower Co., Ltd, Hotel Zonar, Marvie Hotel - Krupa D.O.O., Obiteljski Hoteli D.O.O., Edwardian Pastoria Hotels Ltd (The Londoner)",,True
Tiganda J.D.O.O.,432.0,G&A,General Ops,Terminate,Croatian business services provider,Low,Unclear business purpose; validate need,,,True
"Franklin, Gringer & Cohen, P.C.",427.0,Legal,Legal Services,Consolidate,Law firm legal advisory services,High,Consolidate legal vendors to primary firm,"Lane Ip Limited, Kilgannon & Partners Llp, Pixsy Inc, Franklin, Gringer & Cohen, P.C.",,True
Blitz - Cinestar D.O.O.,426.0,Marketing,General Ops,Terminate,Cinema advertising or entertainment venue,Medium,Review marketing ROI and alternatives,,,True
Lancefield Bus Service,412.0,G&A,Travel & Expense,Consolidate,Bus charter or transport service,Medium,Consolidate transport under travel policy,"Galop-Prijevoz D.O.O., Trans-Agram Obrt Za Dostavu, Croatia Airlines, Greencell Express Private Limited, Lancefield Bus Service, Super Odredište D.O.O.",,True
Super Odrediå¡Te D.O.O.,378.0,G&A,Travel & Expense,Consolidate,Croatian travel or tourism services,Medium,Consolidate travel vendors,"Galop-Prijevoz D.O.O., Trans-Agram Obrt Za Dostavu, Croatia Airlines, Greencell Express Private Limited, Lancefield Bus Service, Super Odredište D.O.O.",,True
Pmi Global Operations Center,378.0,G&A,General Ops,Terminate,Global operations or consulting service,Low,Unclear affiliation; verify ongoing need,,,True
Student Packers & Movers,371.0,Facilities,General Ops,Terminate,Office relocation and moving service,High,One-time service; no ongoing need,,,True
Del Posto D.O.O.,364.0,G&A,General Ops,Consolidate,Italian restaurant services,High,Consolidate meal vendors under T&E policy,"Mesa Verde, Obrt Za Ugostiteljstvo Mirakul, Oakberry Jr D.O.O., Magic Mountain Saloon, Yellow Submarine D.O.O., Vivat Fina Vina D.O.O., Del Posto D.O.O.",,True
Inicijativa Centar Za Edukaciju,358.0,Professional Services,General Ops,Optimize costs,Croatian education center for professional training,Medium,Training center - validate if used vs online alternatives,,,True
Niva Transport J.D.O.O.,358.0,Facilities,Travel & Expense,Consolidate,Croatian transport and logistics services,High,Combine with other transport vendors,Dhl;Parcelforce Worldwide,,True
Doctor Anywhere Operations Pte Ltd,347.0,G&A,General Ops,Terminate,Singapore-based telemedicine and healthcare platform,Medium,Evaluate usage and necessity of healthcare benefits,,,True
Spar Hrvatska D.O.O.,341.0,Facilities,General Ops,Consolidate,Croatian supermarket chain for office supplies/groceries,High,Retail purchases - enforce procurement policy,Amazon (Aus);Notino S.R.O.,,True
Pepe'S Italian And Liquor,339.0,G&A,Travel & Expense,Consolidate,Restaurant and bar expenses,High,Reduce meal spend via T&E policy,The Riding House Cafe;Taste Of Health;Advena,,True
"Pluralsight, Llc",318.0,Engineering,Productivity/Collab,Optimize costs,Tech training and online learning SaaS platform,High,Review license utilization and consolidate learning,Interaction Design Foundation,,True
Maniax Melbourne Cbd,315.0,G&A,General Ops,Terminate,Melbourne entertainment venue for team activities,High,One-time team event - discontinue recurring spend,Rishi Events And Entainment;Event Ors;Paint&Wine,,True
Dnsimple,312.0,Engineering,Security/IT Ops,Optimize costs,Domain registration and DNS management service,High,Consolidate domain management vendors,,,True
Treci Posao D.O.O.,307.0,G&A,Recruiting,Consolidate,Croatian recruiting and staffing agency,Medium,Consolidate recruiting vendors,,,True
Gaucho Restaurants,302.0,Facilities,General Ops,Optimize costs,Employee catering and food services,N/A,,,R030,False
Formswift,301.0,Legal,Productivity/Collab,Optimize costs,Document generation and legal forms SaaS tool,Medium,Evaluate necessity vs existing tools,,,True
Safestore Ltd,287.0,Facilities,General Ops,Optimize costs,UK self-storage and warehousing services,High,Review storage needs and alternatives,,,True
Split Tech City,284.0,Facilities,Coworking/Office,Consolidate,Croatian tech hub and coworking space in Split,High,Consolidate coworking/office space vendors,,,True
National Securities Depository Limited(Nsdl),281.0,Finance,Finance Systems,Optimize costs,Indian securities depository for shareholder services,Medium,Regulatory requirement - negotiate better rates,Bigshare Services Private Limited,,True
Adamma Info Services Private Limited,273.0,Engineering,Professional Services,Consolidate,Indian IT services and software development firm,Medium,Consolidate outsourced dev vendors,Kosmaz Technologies Croatia;Zettanet;Infodata,,True
The Riding House Cafe,265.0,G&A,Travel & Expense,Consolidate,London restaurant for meals and hospitality,High,Reduce via T&E policy enforcement,Pepe'S Italian And Liquor;Taste Of Health;Advena,,True
Stillmark Zagreb D.O.O.,263.0,G&A,General Ops,Terminate,Croatian business services provider,Low,Unclear service - validate necessity,,,True
Lastpass Ireland Limited,263.0,G&A,Security/IT Ops,Consolidate,Password management and security tool,N/A,,,R031,False
Taste Of Health,259.0,G&A,Travel & Expense,Consolidate,Health-focused restaurant or catering service,Medium,Consolidate meal vendors,Pepe'S Italian And Liquor;The Riding House Cafe,,True
Infodata,241.0,Engineering,Professional Services,Consolidate,IT services and data management provider,Medium,Consolidate IT service vendors,Adamma Info Services Private Limited;Kosmaz Technologies Croatia;Zettanet,,True
Amazon (Aus),233.0,Facilities,General Ops,Consolidate,Amazon Australia for office supplies and equipment,High,Consolidate retail purchases,Spar Hrvatska D.O.O.;Notino S.R.O.;Regency Hampers Ltd,,True
Regency Hampers Ltd,248.0,Marketing,General Ops,Optimize costs,UK corporate gift hampers and branded merchandise,High,Review gifting budget and frequency,,,True
Bella Operation A/S,241.0,G&A,General Ops,Terminate,Danish operations and business services,Low,Unclear service type - validate,,,True
The Plant Man,235.0,Facilities,General Ops,Optimize costs,Office plant maintenance and landscaping services,Medium,Nice-to-have service - evaluate ROI,,,True
Media Promo Plus D.O.O.,226.0,Marketing,Marketing/SEO/PR,Consolidate,Croatian marketing and promotional services agency,High,Consolidate marketing vendors,Puzzle Promotion J.D.O.O.,,True
Expert-Ing D.O.O.,225.0,Facilities,Professional Services,Terminate,Croatian engineering consulting services,Medium,Evaluate ongoing need for engineering consultants,Xenon Savjetovanje D.O.O.,,True
Atlassian Pty Ltd,224.0,Engineering,Productivity/Collab,Optimize costs,Software development and collaboration tools,N/A,,,R027,False
Djs For U,220.0,G&A,General Ops,Terminate,DJ and entertainment services for events,High,One-time event - discontinue,Rishi Events And Entainment;Maniax Melbourne Cbd;Event Ors,,True
Freepik Company,203.0,Product,Product/Design,Optimize costs,Design resources and stock image subscriptions,High,Review license usage and alternatives,,,True
Nastavni Zavod Za Javno Zdravstvo Dr. Andrija Å Tampar,199.0,G&A,General Ops,Terminate,Croatian public health institute for health services,Low,Unclear purpose - validate necessity,,,True
Rishi Events And Entainment,198.0,G&A,General Ops,Consolidate,Event planning and entertainment services,High,Consolidate event vendors,Maniax Melbourne Cbd;Djs For U;Event Ors;Paint&Wine,,True
Kosmaz Technologies Croatia,195.0,Engineering,Professional Services,Consolidate,Croatian IT and technology services provider,Medium,Consolidate IT vendors,Adamma Info Services Private Limited;Infodata;Zettanet,,True
Dhl,191.0,Facilities,Travel & Expense,Consolidate,International shipping and courier services,High,Consolidate shipping vendors,Niva Transport J.D.O.O.;Parcelforce Worldwide,,True
Hotel Laguna D.D.,190.0,G&A,Travel & Expense,Consolidate,Croatian hotel for business travel accommodation,High,Enforce T&E policy with preferred hotels,Advena,,True
Bigshare Services Private Limited,188.0,Finance,Finance Systems,Optimize costs,Indian share registry and investor services,Medium,Regulatory need - negotiate rates,National Securities Depository Limited(Nsdl),,True
Zettanet,183.0,Engineering,Security/IT Ops,Consolidate,Network services and IT infrastructure provider,Medium,Consolidate IT infrastructure vendors,Adamma Info Services Private Limited;Kosmaz Technologies Croatia;Infodata,,True
Hahn Air,183.0,G&A,Travel & Expense,Optimize costs,Airline ticketing and travel distribution services,High,Consolidate via corporate travel management,,,True
Vitality Works,182.0,G&A,General Ops,Optimize costs,Wellness and employee health services provider,Medium,Review wellness program ROI and utilization,,,True
Avoxi Inc,178.0,Engineering,Telecom,Optimize costs,Cloud telephony and VoIP communications platform,High,Consolidate telecom vendors,,,True
Zapier Inc.,167.0,SaaS,Productivity/Collab,Consolidate,Workflow automation and app integration,N/A,,,R033,False
"Solarwinds, Inc",166.0,Engineering,Security/IT Ops,Optimize costs,IT monitoring and management SaaS platform,High,Review license count and usage,,,True
Xenon Savjetovanje D.O.O.,164.0,G&A,Professional Services,Terminate,Croatian consulting and advisory services,Low,Unclear scope - validate ongoing need,Expert-Ing D.O.O.,,True
Floom Ltd,162.0,G&A,General Ops,Terminate,UK flower delivery service for gifts,High,Discretionary spend - discontinue,Regency Hampers Ltd,,True
Notino S.R.O.,161.0,G&A,General Ops,Terminate,Czech beauty and cosmetics online retailer,Medium,Personal purchases - enforce procurement policy,Amazon (Aus);Spar Hrvatska D.O.O.,,True
"Paint&Wine, Vl. Stevo Dosen",159.0,G&A,General Ops,Terminate,Paint and wine event experiences for teams,High,One-time team event - discontinue,Rishi Events And Entainment;Maniax Melbourne Cbd;Event Ors,,True
Parcelforce Worldwide,155.0,Facilities,Travel & Expense,Consolidate,UK parcel and express delivery services,High,Consolidate shipping vendors,Dhl;Niva Transport J.D.O.O.,,True
Advena,154.0,G&A,Travel & Expense,Consolidate,German hotel chain for business travel,High,Enforce T&E policy with preferred hotels,Hotel Laguna D.D.;Pepe'S Italian And Liquor;The Riding House Cafe,,True
Hrvatski Nezavisnici Izvoznici Softvera,154.0,Marketing,General Ops,Optimize costs,Croatian software exporters association membership,Medium,Evaluate membership value and ROI,,,True
Monile J.D.O.O.,152.0,G&A,General Ops,Terminate,Croatian company with unclear business type,Low,Unclear service - validate necessity,,,True
Puzzle Promotion J.D.O.O.,143.0,Marketing,Marketing/SEO/PR,Consolidate,Croatian promotional and marketing services,High,Consolidate marketing vendors,Media Promo Plus D.O.O.,,True
ZagrebaäKi Holding D.O.O.,143.0,Facilities,General Ops,Optimize costs,Zagreb city utilities holding company,High,Municipal utilities - negotiate rates if possible,,,True
Event Ors,143.0,G&A,General Ops,Consolidate,Event organization and planning services,High,Consolidate event vendors,Rishi Events And Entainment;Maniax Melbourne Cbd;Djs For U;Paint&Wine,,True
Sportkart D.O.O.,141.0,G&A,General Ops,Terminate,Croatian sports and karting venue for team events,High,One-time team event - discontinue,Rishi Events And Entainment;Maniax Melbourne Cbd,,True
"Interaction Design Foundation, Inc",138.0,Product,Productivity/Collab,Optimize costs,Design education and online training platform,High,Consolidate learning platforms,Pluralsight,,True
(Blank),137.0,G&A,General Ops,Terminate,Unidentified expense with missing vendor name,Low,Missing vendor identification; requires investigation,,,True
Escape Art D.O.O.,133.0,G&A,General Ops,Terminate,Team building or entertainment service provider,Medium,One-time event expense; non-recurring need,,,True
Fero-Term,131.0,Facilities,General Ops,Optimize costs,Facilities or HVAC services provider,Low,Unclear business type; validate necessity,,,True
Ustanova Za Zdravstvenu Skrb P.P.,131.0,G&A,General Ops,Optimize costs,Healthcare services or clinic in Croatia,Medium,Employee healthcare; evaluate alternative providers,,,True
Vistaprint,130.0,Marketing,Marketing/SEO/PR,Consolidate,Online printing and marketing materials provider,High,Consolidate with other print vendors,Vistaprint;Snappy Snaps;Kall Kwik Centre 565,,True
Teb Poslovno Savjetovanje D.O.O.,129.0,Professional Services,Professional Services,Terminate,Business consulting services in Croatia,Medium,Unclear scope and value; review necessity,,,True
Illunis D.O.O.,128.0,G&A,General Ops,Terminate,Unclear business services provider,Low,Vague vendor purpose; validate ongoing need,,,True
The Cook Kitchen,123.0,Facilities,General Ops,Optimize costs,Employee catering and food services,N/A,,,R030,False
Australian Taxation Office (Ato),123.0,Finance,Audit/Tax,Optimize costs,Government tax payment for Australian operations,High,Mandatory compliance payment; optimize tax strategy,,,True
Capitol Services,120.0,G&A,General Ops,Terminate,Business or facilities services provider,Low,Unclear service type; review necessity,,,True
Bonus Opinio D.O.O.,120.0,G&A,General Ops,Terminate,Croatian business services provider,Low,Vague vendor purpose; validate necessity,,,True
Dhl Express (Uk) Ltd,119.0,G&A,General Ops,Consolidate,International courier and shipping services,High,Consolidate with other courier services,Dhl Express (Uk) Ltd;Fedex Express Uk Transportation Ltd;Gophr,,True
Kat'S Kitchen D.O.O.,119.0,Facilities,General Ops,Optimize costs,Employee catering and food services,N/A,,,R030,False
Soho Kitchen Ltd,104.0,Facilities,General Ops,Optimize costs,Employee catering and food services,N/A,,,R030,False
Fortis Trade J.D.O.O.,95.0,G&A,General Ops,Terminate,Croatian trade or retail supplier,Low,Unclear business type; validate necessity,,,True
Till Trade D.O.O.,93.0,G&A,General Ops,Terminate,Croatian trade or retail supplier,Low,Unclear business purpose; review need,,,True
Pret A Manger,92.0,G&A,Travel & Expense,Consolidate,Food and beverage restaurant chain,High,Enforce T&E policy; consolidate meal expenses,Pret A Manger;Axil Coffee Roasters;Wolt Enterprises Oy;Uber *Eats;Istra Wine;Pan-Pek D.O.O.;Cupcake Central (Life Is Sweet Bakery),,True
Axil Coffee Roasters,89.0,G&A,Travel & Expense,Consolidate,Specialty coffee shop for meals and beverages,High,Enforce T&E policy; use meal allowances,Pret A Manger;Axil Coffee Roasters;Wolt Enterprises Oy;Uber *Eats;Istra Wine;Pan-Pek D.O.O.;Cupcake Central (Life Is Sweet Bakery),,True
Pepco Croatia D.O.O.,89.0,G&A,General Ops,Optimize costs,Discount retail store for office supplies,Medium,Consolidate with primary office supplier,,,True
Lemia D.O.O.,88.0,G&A,General Ops,Terminate,Croatian business services provider,Low,Unclear business type; validate necessity,,,True
Retriever Llc,88.0,G&A,General Ops,Terminate,Business services or data provider,Low,Unclear service type; review necessity,,,True
Meluba Limited,88.0,G&A,General Ops,Terminate,Unclear business services provider,Low,Vague vendor purpose; validate need,,,True
London Waste Management,86.0,Facilities,Coworking/Office,Optimize costs,Waste collection and disposal services,High,Essential service; negotiate better rates,,,True
Hilton Garden Inn - Zagreb City Hotels D.O.O.,82.0,G&A,Travel & Expense,Optimize costs,Hotel accommodation for business travel,High,Negotiate corporate rates or use TMC,,,True
Lider Media D.O.O.,80.0,Marketing,Marketing/SEO/PR,Optimize costs,Croatian media and advertising services,Medium,Review campaign effectiveness and ROI,,,True
Uptime Robot Service Provider Ltd,78.0,Engineering,Security/IT Ops,Optimize costs,Website and server uptime monitoring SaaS,High,Review license usage and alternatives,,,True
Mithras Consultants,77.0,Professional Services,Professional Services,Terminate,Business consulting services,Medium,Unclear scope and value delivery,,,True
6Sense Insights Inc,76.0,Marketing,Marketing/SEO/PR,Optimize costs,B2B marketing intelligence and intent data platform,High,Review license utilization and ROI,,,True
Ico,67.0,Legal,Legal Services,Terminate,Compliance or regulatory services,Low,Unclear service; validate necessity,,,True
Sportska Udruga Split,66.0,G&A,General Ops,Terminate,Croatian sports association membership or event,Medium,Non-essential expense; discontinue membership,,,True
Prezzee,64.0,G&A,General Ops,Optimize costs,Digital gift card platform for rewards,Medium,Review gifting policy and alternatives,,,True
